国家/地区,点击次数,展示,点击率,排名
哥伦比亚,146,192,76.04%,4.02
斯洛文尼亚,31,45,68.89%,1.93
印度,14,547,2.56%,8.76
日本,14,132,10.61%,18.13
美国,11,1248,0.88%,68.03
阿根廷,10,23,43.48%,20.52
法国,6,116,5.17%,28.54
乌兹别克斯坦,4,131,3.05%,6.44
英国,4,118,3.39%,60.13
以色列,4,117,3.42%,35.53
西班牙,4,45,8.89%,39.36
中国香港,3,35,8.57%,11.17
德国,3,23,13.04%,50.04
丹麦,3,16,18.75%,19.94
巴西,2,72,2.78%,22.71
墨西哥,2,53,3.77%,20
加拿大,2,38,5.26%,42.87
菲律宾,2,34,5.88%,31.06
巴基斯坦,2,15,13.33%,19.13
爱尔兰,2,12,16.67%,10.5
阿曼,2,7,28.57%,3.86
越南,1,52,1.92%,17.71
意大利,1,27,3.7%,15.89
台湾,1,21,4.76%,16.29
澳大利亚,1,19,5.26%,44.26
土耳其,1,18,5.56%,15.56
泰国,1,16,6.25%,29.44
瑞士,1,13,7.69%,21.15
荷兰,1,13,7.69%,31.23
秘鲁,1,8,12.5%,9.5
比利时,1,7,14.29%,21
波多黎各,1,6,16.67%,28
阿尔巴尼亚,1,5,20%,11
蒙古,1,4,25%,7.25
葡萄牙,1,4,25%,8.75
卢森堡,1,3,33.33%,5.67
巴林,1,2,50%,1
挪威,1,2,50%,2.5
保加利亚,1,2,50%,4.5
韩国,0,72,0%,21.35
印度尼西亚,0,34,0%,8.94
马来西亚,0,34,0%,11.26
俄罗斯,0,29,0%,12.83
乌克兰,0,29,0%,19.24
埃及,0,28,0%,16.96
新加坡,0,26,0%,48.15
波兰,0,22,0%,12.36
捷克,0,21,0%,5.81
约旦,0,19,0%,10.42
摩洛哥,0,17,0%,6.71
匈牙利,0,15,0%,13
沙特阿拉伯,0,14,0%,22.57
罗马尼亚,0,13,0%,34.92
叙利亚,0,11,0%,8.55
新西兰,0,11,0%,15.09
智利,0,10,0%,5.1
希腊,0,10,0%,30
中国,0,8,0%,6.38
委内瑞拉,0,8,0%,8.88
南非,0,7,0%,23.29
阿拉伯联合酋长国,0,7,0%,38
哈萨克斯坦,0,6,0%,12.17
厄瓜多尔,0,6,0%,27.5
肯尼亚,0,5,0%,36.4
瑞典,0,5,0%,38.2
斯洛伐克,0,4,0%,5.25
突尼斯,0,4,0%,5.5
危地马拉,0,4,0%,5.75
科威特,0,4,0%,8.75
尼日利亚,0,4,0%,10
塞浦路斯,0,4,0%,14.25
阿尔及利亚,0,4,0%,15.75
卡塔尔,0,4,0%,27.25
奥地利,0,4,0%,40.75
刚果 - 金沙萨,0,3,0%,6
格鲁吉亚,0,3,0%,7.33
新喀里多尼亚,0,3,0%,7.33
白俄罗斯,0,3,0%,15.67
伊拉克,0,3,0%,17.33
哥斯达黎加,0,3,0%,32
孟加拉,0,3,0%,42.33
塞尔维亚,0,3,0%,43.67
巴勒斯坦,0,2,0%,6
黎巴嫩,0,2,0%,7
乌拉圭,0,2,0%,7.5
吉尔吉斯斯坦,0,2,0%,8
拉脱维亚,0,2,0%,8.5
阿塞拜疆,0,2,0%,9.5
玻利维亚,0,2,0%,10.5
巴拿马,0,2,0%,12
克罗地亚,0,2,0%,18.5
埃塞俄比亚,0,2,0%,34
塞内加尔,0,2,0%,40
摩纳哥,0,1,0%,1
洪都拉斯,0,1,0%,3
法罗群岛,0,1,0%,4
加纳,0,1,0%,4
海地,0,1,0%,4
缅甸,0,1,0%,4
也门,0,1,0%,5
巴拉圭,0,1,0%,6
斯里兰卡,0,1,0%,7
多米尼加共和国,0,1,0%,8
立陶宛,0,1,0%,8
布基纳法索,0,1,0%,9
尼加拉瓜,0,1,0%,9
萨尔瓦多,0,1,0%,9
坦桑尼亚,0,1,0%,9
科特迪瓦,0,1,0%,10
波斯尼亚和黑塞哥维那,0,1,0%,11
柬埔寨,0,1,0%,20
巴哈马,0,1,0%,45
牙买加,0,1,0%,50
尼泊尔,0,1,0%,55
芬兰,0,1,0%,63
马耳他,0,1,0%,65
巴巴多斯,0,1,0%,68
摩尔多瓦,0,1,0%,75