排名靠前的网页,点击次数,展示,点击率,排名
https://www.edugamehq.com/es/,135,200,67.5%,1.3
https://www.edugamehq.com/,83,830,10%,6
https://www.edugamehq.com/es/language-games/,15,186,8.06%,2.4
https://www.edugamehq.com/ja/games/ragdoll-archers/,9,60,15%,19.53
https://www.edugamehq.com/fr/games/steal-brainrot-online/,6,14,42.86%,14
https://www.edugamehq.com/de/,4,13,30.77%,7.15
https://www.edugamehq.com/memory-games/,3,240,1.25%,68.59
https://www.edugamehq.com/he/,3,33,9.09%,34.73
https://www.edugamehq.com/es/about/,2,183,1.09%,4.37
https://www.edugamehq.com/es/trending/,2,182,1.1%,6.3
https://www.edugamehq.com/es/games/soccer-random/,2,47,4.26%,21.4
https://www.edugamehq.com/ar/games/bloxdhop-io/,2,29,6.9%,8.38
https://www.edugamehq.com/games/animal-dna-run/,2,20,10%,8.35
https://www.edugamehq.com/games/basketball-orbit/,2,11,18.18%,37.09
https://www.edugamehq.com/ja/,2,7,28.57%,4
https://www.edugamehq.com/games/steal-brainrot-online/,2,5,40%,19.4
https://www.edugamehq.com/es/memory-games/,1,174,0.57%,5.09
https://www.edugamehq.com/math-games/,1,132,0.76%,18.38
https://www.edugamehq.com/art-games/,1,66,1.52%,56.85
https://www.edugamehq.com/ar/,1,40,2.5%,5.53
https://www.edugamehq.com/games/alchemy-merge-clicker/,1,19,5.26%,5.79
https://www.edugamehq.com/games/nullify/,1,18,5.56%,9.22
https://www.edugamehq.com/games/mini-scientist/,1,16,6.25%,10
https://www.edugamehq.com/zh/games/bloxdhop-io/,1,12,8.33%,11.83
https://www.edugamehq.com/he/language-games/,1,8,12.5%,21.12
https://www.edugamehq.com/ko/games/steal-brainrot-online/,1,6,16.67%,17.83
https://www.edugamehq.com/fr/games/rgb-game,1,4,25%,3.75
https://www.edugamehq.com/ja/games/hextris/,1,4,25%,18.75
https://www.edugamehq.com/games/bloxdhop-io/,1,3,33.33%,11.33
https://www.edugamehq.com/de/games/astray/,1,2,50%,9
https://www.edugamehq.com/games/coil/,1,2,50%,9
https://www.edugamehq.com/es/games/animal-dna-run,1,2,50%,11
https://www.edugamehq.com/ja/games/doodle-jump/,1,2,50%,39.5
https://www.edugamehq.com/ja/games/tetris-jake/,1,1,100%,27
https://www.edugamehq.com/es/games/free-kick-classic/,1,1,100%,124
https://www.edugamehq.com/science-games/,0,661,0%,77.62
https://www.edugamehq.com/new-games/,0,272,0%,5.75
https://games.edugamehq.com/,0,182,0%,6.87
https://www.edugamehq.com/about/,0,123,0%,36.99
https://www.edugamehq.com/es/science-games/,0,107,0%,10.79
https://www.edugamehq.com/geography-games,0,99,0%,67.59
https://www.edugamehq.com/games/flexboxfroggy/,0,78,0%,42.44
https://www.edugamehq.com/puzzle-games/,0,71,0%,8.7
https://www.edugamehq.com/es/games/sudoku-puzzle/,0,71,0%,9.28
https://www.edugamehq.com/games/memory-game/,0,66,0%,76.06
https://www.edugamehq.com/trending/,0,61,0%,2.77
https://www.edugamehq.com/games/memory-match-game/,0,50,0%,73.22
https://www.edugamehq.com/games/pottery-master/,0,38,0%,29
https://www.edugamehq.com/ru/,0,36,0%,6.39
https://www.edugamehq.com/ko/games/match3/,0,36,0%,25.11
https://www.edugamehq.com/he/puzzle-games/,0,34,0%,61
https://www.edugamehq.com/ru/games/match3/,0,26,0%,16.31
https://www.edugamehq.com/fr/,0,25,0%,5.28
https://www.edugamehq.com/ru/games/rpg-game/,0,20,0%,12.55
https://www.edugamehq.com/games/animal-matching/,0,20,0%,50.25
https://www.edugamehq.com/games/volley-random/,0,19,0%,39.74
https://edugamehq.com/games/math-duck/,0,18,0%,29.83
https://www.edugamehq.com/zh/games/little-alchemy-2/,0,17,0%,3.76
https://www.edugamehq.com/ar/games/free-kick-classic/,0,17,0%,8.18
https://www.edugamehq.com/ja/games/piece-of-cake-merge-and-bake/,0,17,0%,13.41
https://www.edugamehq.com/de/games/animal-dna-run/,0,16,0%,9.94
https://www.edugamehq.com/creative-games/,0,16,0%,49.69
https://www.edugamehq.com/he/games/cypher---code-breaker/,0,15,0%,5.07
https://www.edugamehq.com/ru/games/html5-games/,0,14,0%,5.93
https://www.edugamehq.com/ru/games/elevatorsaga/,0,14,0%,11.29
https://www.edugamehq.com/es/sports-games/,0,14,0%,37.21
https://www.edugamehq.com/ru/games/jscheckersai/,0,13,0%,44.46
https://www.edugamehq.com/hi/games/cypher---code-breaker/,0,12,0%,4.58
https://www.edugamehq.com/games/green-mahjong/,0,12,0%,6.08
https://www.edugamehq.com/fr/games/basketball-orbit/,0,12,0%,8.58
https://www.edugamehq.com/fr/games/elevatorsaga,0,12,0%,16.25
https://www.edugamehq.com/games/table-tennis-world-tour/,0,12,0%,26.08
https://www.edugamehq.com/he/trending/,0,12,0%,30.75
https://www.edugamehq.com/de/games/piece-of-cake-merge-and-bake/,0,12,0%,34.75
https://www.edugamehq.com/games/skifree/,0,12,0%,54.67
https://www.edugamehq.com/ar/games/ragdoll-archers,0,11,0%,8.09
https://www.edugamehq.com/ko/games/dino-game/,0,11,0%,23.73
https://www.edugamehq.com/adventure-games/,0,11,0%,40
https://www.edugamehq.com/fr/science-games/,0,11,0%,50.45
https://www.edugamehq.com/hi/games/animal-dna-run/,0,10,0%,7.5
https://www.edugamehq.com/ja/games/math-duck/,0,10,0%,9.3
https://www.edugamehq.com/he/games/piece-of-cake-merge-and-bake/,0,10,0%,11.2
https://www.edugamehq.com/es/art-games/,0,10,0%,13.1
https://www.edugamehq.com/help/,0,9,0%,4.89
https://www.edugamehq.com/de/games/text-adventure/,0,9,0%,29.22
https://www.edugamehq.com/zh/games/brick-breaker/,0,8,0%,8.75
https://www.edugamehq.com/games/quantum-god/,0,8,0%,9.12
https://www.edugamehq.com/he/new-games/,0,8,0%,9.75
https://www.edugamehq.com/es/games/simon-says/,0,8,0%,64.38
https://www.edugamehq.com/fr/games/candy-crush/,0,8,0%,73.62
https://www.edugamehq.com/zh/games/lights-out/,0,7,0%,6.43
https://www.edugamehq.com/he/science-games/,0,7,0%,7
https://www.edugamehq.com/fr/games/flexboxfroggy/,0,7,0%,29.43
https://www.edugamehq.com/games/galaga/,0,7,0%,65.29
https://www.edugamehq.com/ru/trending/,0,6,0%,6.67
https://www.edugamehq.com/ko/games/cypher---code-breaker/,0,6,0%,9.33
https://www.edugamehq.com/games/five-o/,0,6,0%,10
https://www.edugamehq.com/es/games/css-diner/,0,6,0%,14.33
https://www.edugamehq.com/ru/games/map-world/,0,6,0%,20.67
https://www.edugamehq.com/fr/games/count-masters-stickman-games/,0,6,0%,25.83
https://www.edugamehq.com/games/jolly-jumper/,0,6,0%,30.83
https://www.edugamehq.com/fr/games/match3/,0,6,0%,46.5
https://www.edugamehq.com/ru/adventure-games/,0,5,0%,1.2
https://www.edugamehq.com/ru/new-games/,0,5,0%,1.8
https://www.edugamehq.com/de/games/guess-flag,0,5,0%,3.2
https://www.edugamehq.com/games/idle-molecules/,0,5,0%,4.6
https://www.edugamehq.com/games/cypher---code-breaker/,0,5,0%,7.6
https://www.edugamehq.com/fr/games/elevatorsaga/,0,5,0%,8.2
https://www.edugamehq.com/zh/,0,5,0%,8.2
https://www.edugamehq.com/ar/games/count-masters-stickman-games/,0,5,0%,8.4
https://www.edugamehq.com/he/games/bubble-shooter/,0,5,0%,9.2
https://www.edugamehq.com/ko/games/memory-card-game/,0,5,0%,32.4
https://www.edugamehq.com/es/games/alchemy/,0,5,0%,33.8
https://www.edugamehq.com/games/box-it-up/,0,5,0%,58.4
https://www.edugamehq.com/fr/games/dino-game/,0,5,0%,60.2
https://www.edugamehq.com/games/alchemy/,0,5,0%,68.6
https://www.edugamehq.com/de/games/memory-match-game/,0,5,0%,68.8
https://www.edugamehq.com/games/connect-four/,0,5,0%,79
https://www.edugamehq.com/fr/games/doodle-jump/,0,5,0%,79.4
https://edugamehq.com/games/paint-by-words/,0,4,0%,4.25
https://www.edugamehq.com/coding-games/,0,4,0%,4.25
https://www.edugamehq.com/ar/games/math-duck/,0,4,0%,5
https://www.edugamehq.com/de/games/numbers-arena/,0,4,0%,5
https://www.edugamehq.com/fr/games/color-match-amg/,0,4,0%,7.25
https://www.edugamehq.com/es/games/make-a-cookie/,0,4,0%,8.25
https://www.edugamehq.com/ar/games/idle-molecules/,0,4,0%,8.75
https://www.edugamehq.com/es/games/kitty-scramble/,0,4,0%,8.75
https://www.edugamehq.com/games/radius-raid/,0,4,0%,11.5
https://www.edugamehq.com/sports-games/,0,4,0%,12.25
https://www.edugamehq.com/he/games/little-alchemy-2/,0,4,0%,13.25
https://www.edugamehq.com/zh/games/piece-of-cake-merge-and-bake/,0,4,0%,17.5
https://www.edugamehq.com/ja/games/elevatorsaga/,0,4,0%,21.75
https://www.edugamehq.com/ru/games/bubble-shooter/,0,4,0%,26.75
https://www.edugamehq.com/de/games/farm-merge-valley/,0,4,0%,33.5
https://www.edugamehq.com/he/memory-games/,0,4,0%,40.25
https://www.edugamehq.com/ja/games/flappy-bird/,0,4,0%,49.25
https://www.edugamehq.com/zh/games/simon-game/,0,4,0%,54
https://www.edugamehq.com/zh/games/memory-game/,0,4,0%,67.5
https://www.edugamehq.com/he/games/cookie-hangman,0,3,0%,1.33
https://www.edugamehq.com/hi/,0,3,0%,2.33
https://www.edugamehq.com/hi/games/guess-flag/,0,3,0%,2.67
https://www.edugamehq.com/he/adventure-games/,0,3,0%,3.33
https://www.edugamehq.com/de/games/code-editor/,0,3,0%,5.33
https://www.edugamehq.com/games/drawing-app/,0,3,0%,5.67
https://www.edugamehq.com/fr/games/regex-crossword,0,3,0%,6.33
https://www.edugamehq.com/ar/games/emoji-puzzle/,0,3,0%,6.67
https://www.edugamehq.com/ru/games/flexboxfroggy/,0,3,0%,7
https://www.edugamehq.com/games/code-playground-mhr/,0,3,0%,7.33
https://www.edugamehq.com/fr/games/traffic-rider-vvq/,0,3,0%,7.67
https://www.edugamehq.com/es/games/nullify/,0,3,0%,8
https://www.edugamehq.com/ru/games/basketbros/,0,3,0%,8
https://www.edugamehq.com/he/games/pottery-master/,0,3,0%,8.33
https://www.edugamehq.com/ko/art-games/,0,3,0%,8.67
https://www.edugamehq.com/games/cups---water-sort-puzzle/,0,3,0%,9
https://www.edugamehq.com/hi/games/solar-system-scope/,0,3,0%,9.33
https://www.edugamehq.com/recently-played/,0,3,0%,10
https://www.edugamehq.com/ru/games/checkers-devon,0,3,0%,10
https://www.edugamehq.com/ru/games/farm-merge-valley/,0,3,0%,16.67
https://www.edugamehq.com/ko/games/doodle-jump/,0,3,0%,17
https://www.edugamehq.com/es/games/box-it-up/,0,3,0%,19.67
https://www.edugamehq.com/es/games/farm-merge-valley/,0,3,0%,23.33
https://www.edugamehq.com/ar/games/doodle-jump/,0,3,0%,44.67
https://www.edugamehq.com/ru/games/simon-says,0,3,0%,46
https://www.edugamehq.com/games/hextris/,0,3,0%,50
https://www.edugamehq.com/he/games/wordle/,0,3,0%,51.67
https://www.edugamehq.com/es/games/skifree/,0,3,0%,53.33
https://www.edugamehq.com/fr/games/mini-scientist/,0,3,0%,53.33
https://www.edugamehq.com/games/whack-a-mole/,0,3,0%,67
https://www.edugamehq.com/fr/games/cypher---code-breaker/,0,2,0%,3
https://www.edugamehq.com/ko/,0,2,0%,3
https://www.edugamehq.com/es/games/sql-murder-mystery/,0,2,0%,3.5
https://www.edugamehq.com/zh/games/dino-game/,0,2,0%,3.5
https://www.edugamehq.com/ar/games/doodlr-io/,0,2,0%,4
https://www.edugamehq.com/games/astray/,0,2,0%,4
https://www.edugamehq.com/ar/games/elevatorsaga,0,2,0%,5.5
https://www.edugamehq.com/hi/games/math-kids,0,2,0%,6
https://www.edugamehq.com/ru/games/simon-says/,0,2,0%,6
https://www.edugamehq.com/fr/games/steal-brainrot-online,0,2,0%,7
https://www.edugamehq.com/ru/games/tower-blocks/,0,2,0%,7
https://www.edugamehq.com/es/games/mini-scientist/,0,2,0%,7.5
https://www.edugamehq.com/zh/games/basketball-orbit/,0,2,0%,7.5
https://www.edugamehq.com/zh/games/polydash/,0,2,0%,7.5
https://www.edugamehq.com/zh/games/tower-blocks/,0,2,0%,7.5
https://www.edugamehq.com/he/games/galaga,0,2,0%,8
https://www.edugamehq.com/zh/games/nullify/,0,2,0%,8
https://www.edugamehq.com/ar/games/steal-brainrot-online,0,2,0%,8.5
https://www.edugamehq.com/games/alien-invasion/,0,2,0%,8.5
https://www.edugamehq.com/he/games/code-playground/,0,2,0%,9
https://www.edugamehq.com/ru/games/minesweeper/,0,2,0%,9.5
https://www.edugamehq.com/hi/games/sql-murder-mystery/,0,2,0%,10
https://www.edugamehq.com/strategy-games/,0,2,0%,10
https://www.edugamehq.com/he/games/traffic-rider-vvq/,0,2,0%,10.5
https://www.edugamehq.com/hi/science-games/,0,2,0%,10.5
https://www.edugamehq.com/ar/games/steal-brainrot-online/,0,2,0%,11
https://www.edugamehq.com/games/pinball/,0,2,0%,13
https://www.edugamehq.com/ru/games/memory-matching-game/,0,2,0%,17.5
https://www.edugamehq.com/he/games/digger/,0,2,0%,18.5
https://www.edugamehq.com/ko/games/fill-the-fridge/,0,2,0%,19.5
https://www.edugamehq.com/ru/games/snake/,0,2,0%,25.5
https://www.edugamehq.com/games/sql-murder-mystery/,0,2,0%,27
https://www.edugamehq.com/ru/games/pinball/,0,2,0%,28.5
https://www.edugamehq.com/games/hexgl/,0,2,0%,29.5
https://www.edugamehq.com/ru/games/memory-game/,0,2,0%,32
https://games.edugamehq.com/games/princess-castle/,0,2,0%,33.5
https://www.edugamehq.com/ru/games/duckhunt/,0,2,0%,33.5
https://www.edugamehq.com/games/anti-pacman/,0,2,0%,40.5
https://www.edugamehq.com/ko/memory-games/,0,2,0%,46
https://www.edugamehq.com/games/asteroids/,0,2,0%,55
https://www.edugamehq.com/de/games/count-masters-stickman-games/,0,2,0%,57
https://www.edugamehq.com/zh/games/jscheckersai/,0,2,0%,61
https://www.edugamehq.com/zh/games/memory-card-game/,0,2,0%,62.5
https://www.edugamehq.com/es/games/memory-match-game/,0,2,0%,88.5
https://www.edugamehq.com/de/games/crossword/,0,1,0%,1
https://www.edugamehq.com/de/games/world-map/,0,1,0%,1
https://www.edugamehq.com/ja/about/,0,1,0%,1
https://www.edugamehq.com/ru/games/guess-word/,0,1,0%,1
https://www.edugamehq.com/ru/puzzle-games/,0,1,0%,1
https://www.edugamehq.com/de/games/basketbros,0,1,0%,2
https://www.edugamehq.com/fr/games/ceros-snake/,0,1,0%,2
https://www.edugamehq.com/de/games/memory-card-game,0,1,0%,3
https://www.edugamehq.com/es/games/cryptoword/,0,1,0%,3
https://www.edugamehq.com/fr/games/borders-quiz/,0,1,0%,3
https://www.edugamehq.com/ko/games/rpg-game/,0,1,0%,3
https://www.edugamehq.com/ar/games/space-explorer/,0,1,0%,4
https://www.edugamehq.com/ar/games/traffic-rider-vvq/,0,1,0%,4
https://www.edugamehq.com/de/games/coil/,0,1,0%,4
https://www.edugamehq.com/de/games/maze-game/,0,1,0%,4
https://www.edugamehq.com/fr/games/dicetris/,0,1,0%,4
https://www.edugamehq.com/fr/games/labyrinth/,0,1,0%,4
https://www.edugamehq.com/ja/science-games/,0,1,0%,4
https://www.edugamehq.com/ko/games/geo-mastermind/,0,1,0%,4
https://www.edugamehq.com/ko/games/tetris-jake,0,1,0%,4
https://www.edugamehq.com/zh/games/space-defender/,0,1,0%,4
https://www.edugamehq.com/ar/games/beat-maker,0,1,0%,5
https://www.edugamehq.com/ar/games/cups---water-sort-puzzle/,0,1,0%,5
https://www.edugamehq.com/es/games/punk-o-matic/,0,1,0%,5
https://www.edugamehq.com/fr/games/snake,0,1,0%,5
https://www.edugamehq.com/games/doodle-jump/,0,1,0%,5
https://www.edugamehq.com/games/princess-coffee-shop/,0,1,0%,5
https://www.edugamehq.com/games/sudoku-puzzle/,0,1,0%,5
https://www.edugamehq.com/games/world-map,0,1,0%,5
https://www.edugamehq.com/hi/games/numbers-arena/,0,1,0%,5
https://www.edugamehq.com/ko/games/radius-raid/,0,1,0%,5
https://www.edugamehq.com/ko/games/text-adventure/,0,1,0%,5
https://www.edugamehq.com/ru/games/css-diner/,0,1,0%,5
https://www.edugamehq.com/ru/games/memory-game,0,1,0%,5
https://edugamehq.com/games/pop-a-word/,0,1,0%,6
https://www.edugamehq.com/ar/about/,0,1,0%,6
https://www.edugamehq.com/de/games/mini-scientist/,0,1,0%,6
https://www.edugamehq.com/de/games/snake-classic/,0,1,0%,6
https://www.edugamehq.com/es/games/drawing-app/,0,1,0%,6
https://www.edugamehq.com/fr/games/animal-adventure/,0,1,0%,6
https://www.edugamehq.com/games/3d-chess/,0,1,0%,6
https://www.edugamehq.com/he/games/sokoban,0,1,0%,6
https://www.edugamehq.com/hi/games/tower-blocks/,0,1,0%,6
https://www.edugamehq.com/ja/games/nullify/,0,1,0%,6
https://www.edugamehq.com/ko/games/bff-math-class/,0,1,0%,6
https://www.edugamehq.com/ko/games/elevatorsaga,0,1,0%,6
https://www.edugamehq.com/ko/games/idle-molecules/,0,1,0%,6
https://www.edugamehq.com/ar/games/math-expressions/,0,1,0%,7
https://www.edugamehq.com/ar/math-games/,0,1,0%,7
https://www.edugamehq.com/de/games/digger,0,1,0%,7
https://www.edugamehq.com/de/games/ragdoll-archers/,0,1,0%,7
https://www.edugamehq.com/de/games/xor/,0,1,0%,7
https://www.edugamehq.com/fr/games/drawing-app/,0,1,0%,7
https://www.edugamehq.com/fr/games/minesweeper-nick,0,1,0%,7
https://www.edugamehq.com/fr/games/rgb-game/,0,1,0%,7
https://www.edugamehq.com/games/borders-quiz,0,1,0%,7
https://www.edugamehq.com/games/tower-blocks/,0,1,0%,7
https://www.edugamehq.com/he/creative-games/,0,1,0%,7
https://www.edugamehq.com/ja/games/code-editor/,0,1,0%,7
https://www.edugamehq.com/ja/games/flexboxfroggy,0,1,0%,7
https://www.edugamehq.com/ko/games/polydash/,0,1,0%,7
https://www.edugamehq.com/ru/games/drawing-app/,0,1,0%,7
https://www.edugamehq.com/ru/games/pong-html5/,0,1,0%,7
https://www.edugamehq.com/zh/games/memory-jiten/,0,1,0%,7
https://www.edugamehq.com/zh/games/visual-sort,0,1,0%,7
https://www.edugamehq.com/de/games/blackjack/,0,1,0%,8
https://www.edugamehq.com/fr/games/alchemy-merge-clicker/,0,1,0%,8
https://www.edugamehq.com/fr/games/dungeon-crawler/,0,1,0%,8
https://www.edugamehq.com/games/2048/,0,1,0%,8
https://www.edugamehq.com/games/coloring-studio/,0,1,0%,8
https://www.edugamehq.com/he/games/code-editor/,0,1,0%,8
https://www.edugamehq.com/he/games/dino-game,0,1,0%,8
https://www.edugamehq.com/he/math-games/,0,1,0%,8
https://www.edugamehq.com/ko/games/visual-sort/,0,1,0%,8
https://www.edugamehq.com/ru/games/endless-runner,0,1,0%,8
https://www.edugamehq.com/ru/games/flags-quiz/,0,1,0%,8
https://www.edugamehq.com/ru/games/live-editor/,0,1,0%,8
https://www.edugamehq.com/ru/games/paint-by-words/,0,1,0%,8
https://www.edugamehq.com/zh/games/regex-crossword,0,1,0%,8
https://www.edugamehq.com/ar/games/sql-murder-mystery,0,1,0%,9
https://www.edugamehq.com/de/games/code-playground-mhr/,0,1,0%,9
https://www.edugamehq.com/es/games/traffic-rider-vvq/,0,1,0%,9
https://www.edugamehq.com/fr/games/beat-maker,0,1,0%,9
https://www.edugamehq.com/fr/games/farm-merge-valley/,0,1,0%,9
https://www.edugamehq.com/fr/games/merge-the-numbers/,0,1,0%,9
https://www.edugamehq.com/fr/games/table-tennis-world-tour/,0,1,0%,9
https://www.edugamehq.com/games/duckhunt/,0,1,0%,9
https://www.edugamehq.com/he/games/radius-raid/,0,1,0%,9
https://www.edugamehq.com/he/games/sql-murder-mystery/,0,1,0%,9
https://www.edugamehq.com/strategy-games,0,1,0%,9
https://www.edugamehq.com/zh/games/cake-sort-puzzle-3d/,0,1,0%,9
https://www.edugamehq.com/zh/games/skifree/,0,1,0%,9
https://www.edugamehq.com/de/games/rgb-game,0,1,0%,10
https://www.edugamehq.com/es/games/fill-the-fridge/,0,1,0%,10
https://www.edugamehq.com/es/games/word-string-puzzle/,0,1,0%,10
https://www.edugamehq.com/fr/games/twisted-tangle-nmt/,0,1,0%,10
https://www.edugamehq.com/games/basketbros/,0,1,0%,10
https://www.edugamehq.com/games/minesweeper/,0,1,0%,10
https://www.edugamehq.com/he/games/code-playground-mhr/,0,1,0%,10
https://www.edugamehq.com/he/games/drawing-app/,0,1,0%,10
https://www.edugamehq.com/he/games/pixelart-ayan/,0,1,0%,10
https://www.edugamehq.com/he/games/whack-a-mole,0,1,0%,10
https://www.edugamehq.com/ko/games/blockbuster-puzzle/,0,1,0%,10
https://www.edugamehq.com/ko/games/flag-master/,0,1,0%,10
https://www.edugamehq.com/ko/games/sliding-puzzle/,0,1,0%,10
https://www.edugamehq.com/ru/games/bloxdhop-io/,0,1,0%,10
https://www.edugamehq.com/ru/games/simon-game/,0,1,0%,10
https://www.edugamehq.com/zh/favorites/,0,1,0%,10
https://www.edugamehq.com/zh/games/memory-matching-game/,0,1,0%,10
https://www.edugamehq.com/zh/games/virtual-piano/,0,1,0%,10
https://www.edugamehq.com/zh/language-games/,0,1,0%,10
https://www.edugamehq.com/ar/games/draw-climber/,0,1,0%,11
https://www.edugamehq.com/de/games/borders-quiz/,0,1,0%,11
https://www.edugamehq.com/es/games/rgb-game,0,1,0%,11
https://www.edugamehq.com/games/farm-merge-valley/,0,1,0%,11
https://www.edugamehq.com/he/games/farm-merge-valley/,0,1,0%,11
https://www.edugamehq.com/he/games/galaga/,0,1,0%,11
https://www.edugamehq.com/hi/games/dino-game/,0,1,0%,11
https://www.edugamehq.com/hi/games/little-alchemy-2/,0,1,0%,11
https://www.edugamehq.com/ja/games/lights-out/,0,1,0%,11
https://www.edugamehq.com/ru/games/driven-wild/,0,1,0%,11
https://games.edugamehq.com/games/algo-visualizer/algos/bst/index.html,0,1,0%,12
https://www.edugamehq.com/de/games/elevatorsaga/,0,1,0%,12
https://www.edugamehq.com/es/games/basketball-orbit/,0,1,0%,12
https://www.edugamehq.com/ja/art-games/,0,1,0%,12
https://www.edugamehq.com/ru/games/candy-crush,0,1,0%,12
https://www.edugamehq.com/ru/games/pixelart-ayan/,0,1,0%,12
https://www.edugamehq.com/ru/games/rgb-game/,0,1,0%,12
https://www.edugamehq.com/ar/games/piece-of-cake-merge-and-bake/,0,1,0%,13
https://www.edugamehq.com/he/games/nullify/,0,1,0%,13
https://www.edugamehq.com/ja/games/2048/,0,1,0%,14
https://www.edugamehq.com/ja/games/pokemon-quiz/,0,1,0%,14
https://www.edugamehq.com/ru/games/polydash/,0,1,0%,15
https://www.edugamehq.com/de/games/flexboxfroggy,0,1,0%,17
https://www.edugamehq.com/ko/games/driven-wild/,0,1,0%,17
https://www.edugamehq.com/ru/games/code-playground-mhr,0,1,0%,18
https://www.edugamehq.com/ru/games/endless-runner/,0,1,0%,18
https://www.edugamehq.com/ru/games/rock-paper-scissors/,0,1,0%,18
https://www.edugamehq.com/zh/games/skeleton-simulator/,0,1,0%,18
https://www.edugamehq.com/ko/games/othello-simple/,0,1,0%,19
https://www.edugamehq.com/ja/games/galaga/,0,1,0%,20
https://www.edugamehq.com/zh/games/flexboxfroggy/,0,1,0%,24
https://www.edugamehq.com/hi/games/minesweeper/,0,1,0%,25
https://www.edugamehq.com/es/games/algo-visualizer,0,1,0%,26
https://www.edugamehq.com/fr/math-games/,0,1,0%,26
https://www.edugamehq.com/fr/games/country-quiz/,0,1,0%,29
https://www.edugamehq.com/ko/games/wordle/,0,1,0%,30
https://www.edugamehq.com/ko/games/jscheckersai/,0,1,0%,31
https://www.edugamehq.com/games/drop-merge-the-numbers/,0,1,0%,33
https://www.edugamehq.com/he/games/driven-wild,0,1,0%,35
https://www.edugamehq.com/games/borders-quiz/,0,1,0%,37
https://www.edugamehq.com/fr/games/bloxdhop-io/,0,1,0%,40
https://www.edugamehq.com/de/games/alchemy/,0,1,0%,42
https://www.edugamehq.com/games/archery-game/,0,1,0%,42
https://www.edugamehq.com/ru/games/dino-game,0,1,0%,43
https://www.edugamehq.com/ko/games/frogger/,0,1,0%,44
https://www.edugamehq.com/ru/games/text-adventure/,0,1,0%,44
https://www.edugamehq.com/ko/games/loderunner/,0,1,0%,45
https://www.edugamehq.com/games/solar-system-scope/,0,1,0%,46
https://edugamehq.com/games/skeleton-simulator/,0,1,0%,48
https://www.edugamehq.com/ja/games/othello-simple/,0,1,0%,48
https://www.edugamehq.com/games/soccer-random/,0,1,0%,50
https://www.edugamehq.com/ja/games/map-world/,0,1,0%,52
https://www.edugamehq.com/zh/games/elevatorsaga/,0,1,0%,56
https://www.edugamehq.com/fr/games/sudoku-game/,0,1,0%,57
https://www.edugamehq.com/he/games/jscheckersai/,0,1,0%,57
https://www.edugamehq.com/es/games/map-quiz/,0,1,0%,59
https://www.edugamehq.com/ja/games/jscheckersai/,0,1,0%,60
https://www.edugamehq.com/fr/games/othello/,0,1,0%,61
https://www.edugamehq.com/ko/games/memory-game/,0,1,0%,63
https://www.edugamehq.com/games/sokoban/,0,1,0%,65
https://www.edugamehq.com/zh/games/simon-says/,0,1,0%,66
https://www.edugamehq.com/fr/games/connect-four,0,1,0%,72
https://www.edugamehq.com/ru/games/doodle-jump/,0,1,0%,73
https://www.edugamehq.com/arcade-games/,0,1,0%,79
https://www.edugamehq.com/he/games/lights-out/,0,1,0%,93
https://www.edugamehq.com/ko/games/lights-out/,0,1,0%,125